rank,ranking-institution-title,location,Overall scores,Research Quality Score,Industry Score,International Outlook,Research Environment Score,Teaching Score
175,University of Waterloo,Canada,47.4–49.2,75.4,66.6,84.2,32.5,31
176,Worcester Polytechnic Institute,United States,47.4–49.2,98.6,67.2,67.9,21.9,23
177,University of Adelaide,Australia,46.2–47.3,65.4,52.4,94.7,36.1,27.4
178,Aston University,United Kingdom,46.2–47.3,93.6,52.3,91.2,22.2,21.3
179,University of Canterbury,New Zealand,46.2–47.3,93.1,58.2,85.2,22.4,19.4
180,Université Catholique de Louvain,Belgium,46.2–47.3,54.9,64,70,43.2,35
181,Curtin University,Australia,46.2–47.3,79.6,67.5,95.9,24,24.9
182,University of Exeter,United Kingdom,46.2–47.3,84.3,38.8,96.4,27.4,20.9
183,Free University of Bozen-Bolzano,Italy,46.2–47.3,97.5,19.4,84.9,23.9,19.4
184,Georgetown University,United States,46.2–47.3,75.7,68.9,51.9,26.4,40.5
185,Harbin Institute of Technology,China,46.2–47.3,73.3,65.4,56.7,28,37.8
186,Huazhong University of Science and Technology,China,46.2–47.3,84.1,85,54.6,24.6,32.9
187,University of Innsbruck,Austria,46.2–47.3,70.1,87.2,90.5,31.8,26.1
188,Linköping University,Sweden,46.2–47.3,88,94.2,63.2,32.1,17.6
189,North Carolina State University,United States,46.2–47.3,74.2,87.2,46.3,31.2,33.9
190,Peter the Great St Petersburg Polytechnic University,,46.2–47.3,72.1,24.2,64.6,28.3,40.9
191,Radboud University Nijmegen,Netherlands,46.2–47.3,83.8,67,64.2,32.1,24.1
192,University of Rochester,United States,46.2–47.3,68.6,67.3,79.5,28.5,36.3
193,Sapienza University of Rome,Italy,46.2–47.3,69.9,75.5,41.8,32.7,40.3
194,University of South Australia,Australia,46.2–47.3,78,94.6,84.6,33,19
195,Universiti Teknologi Malaysia,Malaysia,46.2–47.3,78.7,67.6,69.7,29.1,31.1
196,United Arab Emirates University,United Arab Emirates,46.2–47.3,86.9,67.9,83.1,26,22.9
197,Universiti Utara Malaysia,Malaysia,46.2–47.3,71.8,44.1,67.2,30.4,39.1
198,Washington State University,United States,46.2–47.3,75.1,75.7,63.4,30.1,32
199,University of Wollongong,Australia,46.2–47.3,73.2,94.9,88.8,27.3,25.4
200,Aalborg University,Denmark,44.3–46.1,72.1,56.7,63.5,36.3,23.6
201,University of Aberdeen,United Kingdom,44.3–46.1,72.6,67.6,97.5,23.2,28.7
202,University of Antwerp,Belgium,44.3–46.1,70.3,98,61,34.4,26.8
203,"Asia University, Taiwan",Taiwan,44.3–46.1,93.4,71.4,59,26.9,18
204,University of Bern,Switzerland,44.3–46.1,76.7,76.6,74,28.5,25.4
205,University of Bradford,United Kingdom,44.3–46.1,94,63.7,93.9,20.2,17
206,University of Bristol,United Kingdom,44.3–46.1,73.1,51.6,91.2,24.2,29.8
207,"University of California, Irvine",United States,44.3–46.1,60.3,67.5,83.2,31,31.9
208,Carlos III University of Madrid,Spain,44.3–46.1,48.6,70.6,68.5,34.8,43.6
